Date,BAC,BP,EBAY,GM,HMC,HP,PYPL,RYAAY,SHEL,X
05/02/2024,32.17132568,32.43077469,40.54280472,37.40135193,33.86000061,35.61470413,61.54000092,53.32271194,60.49260712,45.28262329
06/02/2024,32.22008514,34.4671669,41.84746552,37.63888168,34.41999817,36.94797897,63.70999908,53.98376846,61.13614655,45.3721962
07/02/2024,32.35660934,34.25879288,41.53356552,38.32178497,34.93000031,37.25491714,63.24000168,54.8012886,61.04970551,45.84989929
08/02/2024,32.29809952,34.29668045,41.2196579,38.25250626,35.15999985,36.62185287,56.13000107,54.36710358,61.04970551,46.13851547
09/02/2024,32.24933624,34.43874741,41.62184906,38.16342926,34.36000061,36.50675201,58.90999985,54.71132278,61.22259521,46.11858368
12/02/2024,32.78569031,34.50505447,42.66166306,38.87602234,34.47999954,36.55524063,60.09000015,54.21455002,61.61639404,45.54073334
13/02/2024,31.93728065,34.13566208,40.34661102,37.91600037,34.06000137,35.37197495,58.25999832,53.76862717,60.9152298,45.43114471
14/02/2024,32.30784988,33.8704567,41.37661362,37.97538376,33.83000183,35.81812668,58.86999893,54.25366592,60.92483521,45.47099304
15/02/2024,33.22452545,34.14468765,41.80822754,38.58900452,34.81999969,37.81610489,59.70000076,55.01642609,61.73856354,45.61047363
16/02/2024,33.24402618,33.99127579,42.62242508,38.30198669,34.74000168,38.45623398,59.13999939,54.4961853,61.72885132,45.82966232
20/02/2024,33.11724854,33.92415237,42.759758,38.60879898,34.63000107,37.7191124,58.63000107,54.12067413,61.77740479,45.61047363
21/02/2024,32.86370468,34.23098373,42.96575546,39.08386612,34.93999863,37.66091919,57.47999954,54.2849617,62.51538849,45.99903107
22/02/2024,32.77593613,34.02962875,43.43661118,38.93540955,35.74000168,37.6027298,58.34999847,55.50146103,62.2726326,46.34773636
23/02/2024,33.07824326,33.92415237,43.17174911,39.22242355,35.81999969,36.67163467,59.15999985,55.23547363,62.07843018,47.08499527
26/02/2024,32.77593613,33.86662292,43.04423523,39.38077927,35.65999985,36.84621048,59.33000183,54.63700485,61.54435349,47.4735527
27/02/2024,33.42930984,33.96250153,43.54451752,39.76676941,35.25,37.42814636,60.15999985,55.08683395,61.56377792,47.20455551
28/02/2024,33.45856857,33.52143097,46.97785187,40.21213913,35.36999893,37.34085846,60.25,53.92118073,60.76752853,47.33406448
29/02/2024,33.90048981,33.55020142,46.37947083,40.67868423,35.59000015,37.23416519,60.34000015,54.07764435,61.01028824,47.16469955
01/03/2024,33.73353958,34.17345047,47.13480759,40.68861008,36.06999969,37.81610489,60.54000092,53.25230026,61.71914673,47.22447968
04/03/2024,34.51918411,34.2022171,47.97842789,40.62904739,35.97999954,37.30205917,59.97999954,54.05417633,61.02970886,47.51340103
05/03/2024,34.75487518,34.32686996,49.135952,40.35111237,35.77999878,36.98199463,58.27000046,53.80383682,61.04912186,47.58314133
06/03/2024,34.78433609,34.92135239,49.57738113,39.85478592,36.24000168,37.3602562,58.11999893,54.64873886,62.00074387,47.02521896
07/03/2024,34.99057007,34.93094635,49.81280899,39.06066513,35.43999863,38.4465332,58.5,55.49755096,62.38916016,47.39384842
08/03/2024,34.96110535,34.91176987,49.67474365,39.20956802,35.52000046,38.00038147,59.00999832,55.42323303,62.45713043,47.264328
11/03/2024,35.24590302,34.98847961,50.83845139,39.23934174,34.68000031,38.54352188,60.08000183,55.30197144,62.4280014,46.92558289
